"StationID" "day_of_week" "time_of_day" "meanHeadway" "SDHeadway" "Flow_rate"
"379" 70006 1 13 720.19298245614 207.620742718587 0.0141789746828417
"380" 70006 1 14 402.459459459459 218.110766706113 0.0273911036943814
"381" 70006 1 15 380.108910891089 167.969812823025 0.0259687090457906
"382" 70006 1 16 456.423076923077 273.886720314139 0.0207337492479021
"383" 70006 1 17 364.358695652174 202.067096979683 0.0138381047746048
"384" 70006 1 18 388.083333333333 195.769556617584 0.0144092072182439
"385" 70006 1 19 375.217391304348 193.542954660237 0.011883734289615
"386" 70006 1 20 352.893203883495 182.987137264728 0.00919186469120978
"387" 70006 1 21 398.831325301205 183.580567763631 0.0086611476699417
"388" 70006 1 22 409.770114942529 201.556714919291 0.00707084992330763
"389" 70006 1 23 491.962962962963 171.757128268701 0.00736240776414602
"390" 70006 1 24 514.442307692308 172.353536965082 0.00764909259309139
"391" 70006 1 25 527.275362318841 194.434465298266 0.00727135017037634
"392" 70006 1 26 514.202898550725 155.109978033628 0.00906004023129303
"393" 70006 1 27 516.227272727273 153.511292038132 0.0106786619239549
"394" 70006 1 28 511.380952380952 174.64964270176 0.0104885860857653
"395" 70006 1 29 526.359375 165.316374628281 0.012294734915221
"396" 70006 1 30 418.373493975904 253.860952474582 0.0150641674502501
"397" 70006 1 31 428.578947368421 205.725205920123 0.0133856209563931
"398" 70006 1 32 467.569444444444 212.21938067029 0.0161290490771925
"399" 70006 1 33 416.597402597403 222.963842934954 0.0174379005565344
"400" 70006 1 34 367.949367088608 187.014321317378 0.0168340940809263
"401" 70006 1 35 423.712643678161 225.687678206172 0.0168128946321714
"402" 70006 1 36 358.670212765957 214.630334280834 0.0150640165948649
"403" 70006 1 37 337.268041237113 177.284347604345 0.013736529388124
"404" 70006 1 38 416.696629213483 205.326148784981 0.0122120036363669
"405" 70006 1 39 443.730769230769 224.268604786553 0.00852907209141525
"406" 70006 1 40 491.68115942029 224.819960174255 0.00765091151997404
"407" 70006 1 41 556.140845070423 202.10897313611 0.00776455426408477
"408" 70006 1 42 605.590163934426 179.562373290284 0.00576699860719242
"409" 70006 1 43 591.521739130435 150.248089808319 0.00466025601506029
"410" 70006 1 44 621.55 154.806212922228 0.00513701163793911
"411" 70006 1 45 585.816666666667 191.48602565879 0.00377856641425598
"412" 70006 1 46 601.383333333333 208.051663374193 0.00297162295954707
"413" 70006 1 47 616.365079365079 229.849902046005 0.00212611066353179
"414" 70006 1 48 606.774193548387 199.971015879707 0.00162733891327573
"415" 70006 3 1 748.592592592593 302.59839585462 0.000970800287356322
"416" 70006 3 2 949.117647058824 290.397116538918 0.000382523611111111
"417" 70006 3 3 1196.46666666667 182.923038721857 0.000567829166666667
"418" 70006 3 4 1050.44444444444 150.370468436385 NA
"419" 70006 3 5 NA NA NA
"420" 70006 3 6 NA NA NA
"421" 70006 3 7 NA NA NA
"422" 70006 3 10 NA NA NA
"423" 70006 3 11 NA NA NA
"424" 70006 3 12 507.9 148.444115934434 NA
"425" 70006 3 13 611.133333333333 138.518109526035 0.000135825596569724
"426" 70006 3 14 603.133333333333 203.512557154443 0.00407758001369538
"427" 70006 3 15 684.724137931035 150.859418132939 0.00339105878191856
"428" 70006 3 16 630.923076923077 153.364121769578 0.00401254837860225
"429" 70006 3 17 693.458333333333 170.164365340938 0.00325318207965357
"430" 70006 3 18 676.3 204.794792161695 0.00445847872808026
"431" 70006 3 19 684.461538461538 203.511420960934 0.00447754508247056
"432" 70006 3 20 632.888888888889 168.694611042771 0.00569317043095024
"433" 70006 3 21 710.95652173913 138.718314403644 0.00651598460587578
"434" 70006 3 22 632.083333333333 135.362931367512 0.00649904798180009
"435" 70006 3 23 623.862068965517 178.667233413311 0.00592155558958394
"436" 70006 3 24 635.571428571429 181.216348819209 0.00779669237375472
